02 Dec 2024 - 21:36:51.888 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
02 Dec 2024 - 21:36:52.864 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
02 Dec 2024 - 21:36:52.884 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 6.798 seconds (process running for 7.454)
02 Dec 2024 - 21:36:53.035 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/Interview_questions (PostgreSQL 14.13)
02 Dec 2024 - 21:36:53.097 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.039s)
02 Dec 2024 - 21:36:53.126 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
02 Dec 2024 - 21:36:53.131 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
02 Dec 2024 - 21:37:27.427 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
02 Dec 2024 - 21:37:27.430 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
02 Dec 2024 - 21:37:27.433 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
02 Dec 2024 - 21:37:30.812 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 10320 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
02 Dec 2024 - 21:37:30.833 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "dev"
02 Dec 2024 - 21:37:31.924 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02 Dec 2024 - 21:37:32.018 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86 ms. Found 5 JPA repository interfaces.
02 Dec 2024 - 21:37:32.638 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
02 Dec 2024 - 21:37:32.649 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
02 Dec 2024 - 21:37:32.650 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
02 Dec 2024 - 21:37:32.722 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
02 Dec 2024 - 21:37:32.723 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1825 ms
02 Dec 2024 - 21:37:32.873 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
02 Dec 2024 - 21:37:32.925 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
02 Dec 2024 - 21:37:32.958 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
02 Dec 2024 - 21:37:33.270 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
